LAT     ,LON      ,DEPTH,MAG,DATE      ,TIME       
32.5363,78.4695,13,5,6/10/1975,44:17.6
31.2567,76.959,11,5,2/5/1976,04:32.0
35.9276,73.5795,48,5,3/22/1976,15:29.9
29.4255,81.4419,27,5,9/29/1976,51:25.5
31.8406,78.379,10,5,9/29/1976,47:17.1
30.4074,79.4144,17,5,4/20/1977,21:08.3
29.5052,81.1535,17,5,11/4/1977,54:46.9
33.4338,76.2084,26,5,12/21/1977,08:16.5
33.4174,75.9,26,5,2/23/1978,01:28.7
33.3891,73.6487,16,5,5/7/1978,32:25.8
32.1215,76.4876,12.4,5,6/14/1978,12:06.8
33.4389,76.0787,26,5,9/28/1978,32:16.6
29.1774,81.0047,10,5,10/10/1980,02:25.9
29.5689,85.2937,35,5,11/18/1980,46:23.9
29.4451,85.2209,35,5,11/20/1980,03:30.8
37.2127,71.8791,100,5,1/4/1981,33:37.6
29.8874,94.8818,35,5,10/23/1981,44:51.2
35.5917,73.6684,37,5,11/9/1981,37:24.0
31.4428,82.2234,28.7,5,1/23/1982,52:09.2
29.5949,95.4079,29.1,5,5/29/1982,27:23.6
28.0175,92.5169,35,5,10/2/1983,03:25.4
31.5573,72.8167,40.4,5,5/11/1984,45:24.7
27.0256,92.559,35,5,10/31/1985,26:11.8
35.6762,73.0356,23.9,5,8/24/1986,37:44.4
28.3063,83.5861,31,5,1/19/1987,12:07.4
27.5917,92.6088,18,5,1/24/1987,34:26.7
30.3151,79.1531,24,5,6/6/1987,02:40.6
36.0312,73.9305,35,5,10/26/1987,38:09.3
29.0205,94.8492,23.2,5,5/10/1988,51:41.6
27.6609,91.1577,33.5,5,12/20/1988,45:45.6
29.201,89.9646,16.2,5,2/22/1990,33:13.7
36.794,72.8926,16.8,5,3/5/1990,04:22.8
37.0355,72.8451,13.4,5,3/25/1990,28:26.0
28.1811,82.9714,35,5,12/20/1990,04:42.5
26.6245,92.5865,10,5,12/29/1990,24:11.6
31.64,77.3918,27.8,5,1/20/1991,43:17.5
27.8498,87.97,40.9,5,12/21/1991,52:44.2
33.8434,72.8585,14.6,5,3/24/1992,01:49.0
33.499,72.52,24.6,5,2/17/1993,06:08.9
36.7251,74.0312,17.8,5,2/18/1993,14:44.7
28.9857,87.4514,15.4,5,3/20/1993,26:40.1
33.2144,75.8515,25.3,5,9/15/1993,08:14.4
28.7472,82.237,35,5,10/20/1993,23:40.1
27.1794,91.8801,19.3,5,12/12/1993,34:18.0
29.2838,95.3228,18,5,12/31/1993,54:01.6
29.2285,81.402,22.9,5,7/17/1994,40:49.1
27.4596,88.691,22,5,9/25/1996,41:17.4
27.418,86.7369,25,5,12/30/1996,08:19.0
26.8722,91.829,41.3,5,7/18/1997,39:25.0
37.3004,72.5815,55.2,5,7/8/1999,42:14.9
28.0451,84.8141,8.9,5,7/16/2001,12:44.6
